Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.393, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:21:31.961107', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.393, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:22:01.980015', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.393, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:22:32.020732', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.294, 'READING_POWER_IN_LOW_TARIFF': 23.394, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:23:03.802534', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.306, 'READING_POWER_IN_LOW_TARIFF': 23.41, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:23:33.820652', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.306, 'READING_POWER_IN_LOW_TARIFF': 23.41, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:24:03.859843', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.306, 'READING_POWER_IN_LOW_TARIFF': 23.41, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:24:33.895982', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.306, 'READING_POWER_IN_LOW_TARIFF': 23.41, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:25:03.907713', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.307, 'READING_POWER_IN_LOW_TARIFF': 23.411, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:25:33.947197', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.307, 'READING_POWER_IN_LOW_TARIFF': 23.411, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:26:03.967594', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.307, 'READING_POWER_IN_LOW_TARIFF': 23.411, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:26:35.804305', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.305, 'READING_POWER_IN_LOW_TARIFF': 23.428, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:27:05.845716', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.305, 'READING_POWER_IN_LOW_TARIFF': 23.428, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:27:35.886604', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.3, 'READING_POWER_IN_LOW_TARIFF': 23.429, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:28:05.926368', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.3, 'READING_POWER_IN_LOW_TARIFF': 23.429, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:28:35.967995', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.3, 'READING_POWER_IN_LOW_TARIFF': 23.429, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:29:05.992001', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.3, 'READING_POWER_IN_LOW_TARIFF': 23.429, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:29:36.019663', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.3, 'READING_POWER_IN_LOW_TARIFF': 23.429, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:30:07.811595', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.447, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:30:37.837899', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.447, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:31:07.865523', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.447, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:31:37.908758', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.447, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:32:07.951628', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.447, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:32:37.990635', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.447, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:33:08.007711', 'measurement': 'SmartMeter'}]
